"Data Source","World Development Indicators",

"Last Updated Date","2022-04-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Czech Republic","CZE","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","182340","165610","161160","156440","149150","149130","150740","148230","141600","133490","144130","143850","138240","142580","143130","140060","141040","144010","138950","131310","134400","131780","128370","123090","120360","122290","124090","124120","122840","","","",
"Germany","DEU","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1160210","1130620","1082930","1075230","1062350","1055730","1083880","1045890","1019610","985180","975830","991320","972930","971900","952110","927710","934200","905130","907800","850640","881300","852550","866670","883920","843660","847460","850170","832650","806090","","","",
"Djibouti","DJI","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","990","1010","1020","1040","1050","1100","1150","1180","1190","1230","1270","1280","1310","1330","1320","1360","1360","1400","1410","1400","1460","1420","1460","1520","1430","1520","1470","1460","1480","","","",
"Dominica","DMA","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","190","190","210","200","210","210","180","200","190","190","200","220","190","200","220","230","240","250","250","570","250","240","320","240","250","250","250","230","240","","","",
"Denmark","DNK","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68170","78790","72590","75160","78860","75770","89240","79570","75510","72670","68470","69710","69450","74880","68560","64700","72470","67670","64190","61370","61800","56460","51390","52940","48690","46610","48330","46160","45870","","","",
"Dominican Republic","DOM","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15900","17050","18560","19090","21090","21600","22520","24180","26090","26740","27500","28290","30690","28360","27620","28850","30820","32010","32190","31690","33030","33390","34160","33930","34170","36520","37790","37010","39060","","","",
"Algeria","DZA","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95010","93880","93500","101040","98790","103000","104320","108440","113770","119750","126380","124710","131940","137710","141580","147030","152530","159650","162970","172870","174020","179950","189820","194000","204130","212080","209790","211850","218910","","","",
"East Asia & Pacific (excluding high income)","EAP","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","3415737.27657702","3130419.80945152","3802938.3108265","3838570.57914034","3357603.45167443","3557799.366118","3773263.75730963","4615853.54554971","4666453.60196308","4802208.33365179","4985740.2082967","4753591.85680276","6756467.17237337","6226107.38025526","5344265.94785815","5264936.66404501","5927546.06288914","6960456.65889011","6098285.78321647","6025212.62460707","4429070","4613650","4777100","5042470","5236870","5702500","5792000","5843470","5966940","5974520","6203940","6435720","6781850","7462280","8278680","9041530","9763770","10437830","10763980","11364100","12270650","13199210","13569140","14042280","14146220","14211920","14272540","14558660","14973700","","","",
"Early-demographic dividend","EAR","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","4042013.4976116","3671449.8768254","4395680.9161619","4439926.6998028","4089808.8988223","4131090.202232","4495675.3488268","5132038.6907464","5016986.1163944","5251221.7019957","5512991.7247518","5315713.809421","7414892.3543048","6675291.020328","5370891.394911","5200898.0799342","5835917.3071704","6865308.238447","5809597.648001","5774094.155981","5111810","5284960","5405930","5565180","5729540","5931780","6155490","6336390","6490560","6656900","6843630","6958540","7119700","7334370","7613110","7874760","8211190","8604630","8890940","9068000","9365970","9628480","9918090","10024290","10389760","10487860","10669040","10990740","11238210","","","",
"East Asia & Pacific","EAS","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","4878563.39140639","4604553.96823726","5380452.08944393","5538386.31206541","5081045.49157918","5258477.92061496","5562112.21294128","6469614.63639839","6502400.47716114","6717012.94130681","6918673.74562622","6608207.53761727","8611437.71813001","8075198.01722864","7284011.36517078","7245163.9636698","7910649.66302663","8925835.95956443","8221050.89635707","8223285.30479697","6521270","6747860","6955330","7250080","7538070","8062320","8194170","8270690","8307080","8414600","8747770","9001700","9366090","9982120","10873000","11594140","12348680","13070020","13315920","13881370","14870050","15983960","16400380","16796060","16864800","16917810","16961500","17288890","17659720","","","",
